2014-12-09 23:33:13.222 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5076, moves: 19 Player 2: searchType: 2, heuristic: 2, searchDepth: 2, average Time: 1022, moves: 19, winner:1
2014-12-09 23:33:13.333 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5148, moves: 6 Player 2: searchType: 2, heuristic: 2, searchDepth: 3, average Time: 7014, moves: 7, winner:2
2014-12-09 23:33:15.344 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5022, moves: 19 Player 2: searchType: 2, heuristic: 2, searchDepth: 4, average Time: 97958, moves: 19, winner:1
2014-12-09 23:33:19.004 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5184, moves: 6 Player 2: searchType: 2, heuristic: 2, searchDepth: 5, average Time: 513865, moves: 7, winner:2
2014-12-09 23:33:25.500 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 717530, moves: 9 Player 2: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 65, moves: 9, winner:1
2014-12-09 23:33:29.657 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 177413, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 604, moves: 24, winner:0
2014-12-09 23:33:36.378 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 353083, moves: 18 Player 2: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 17039, moves: 18, winner:1
2014-12-09 23:33:43.789 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 169524, moves: 22 Player 2: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 157201, moves: 23, winner:2
2014-12-09 23:34:38.224 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 142371, moves: 20 Player 2: searchType: 1, heuristic: 0, searchDepth: 5, average Time: 2453524, moves: 21, winner:2
2014-12-09 23:34:39.463 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 150510, moves: 8 Player 2: searchType: 1, heuristic: 1, searchDepth: 1, average Time: 153, moves: 8, winner:1
2014-12-09 23:34:40.324 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 90317, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 2, average Time: 1533, moves: 9, winner:1
2014-12-09 23:34:41.265 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 80791, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 3, average Time: 19916, moves: 9, winner:1
2014-12-09 23:34:44.410 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 56147, moves: 13 Player 2: searchType: 1, heuristic: 1, searchDepth: 4, average Time: 182347, moves: 13, winner:1
2014-12-09 23:35:33.365 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 91413, moves: 10 Player 2: searchType: 1, heuristic: 1, searchDepth: 5, average Time: 4800102, moves: 10, winner:1
